,JD,Flx(V),E_flx,Q/I,E_Q/I,U/I,E_U/I,V-J,E_V-J,Flx(V)_transformed,V-J_transformed
86,4729.29,8.52e-11,1.7899999999999997e-13,0.0281,0.0022,0.0973,0.0016,1.933,0.003,0.6574585635359116,0.47516609962210005
87,5119.17,7.69e-11,2.0600000000000003e-13,-0.018000000000000002,0.0026,0.0734,0.0001,1.935,0.004,0.569060773480663,0.480690944311427
88,4612.99,1.13e-10,1.52e-13,-0.0448,0.0031,0.0421,0.0032,1.936,0.003,0.8591160220994476,0.48621577227370116
89,4703.32,9.009999999999999e-11,3.79e-13,-0.1336,0.0036,-0.013000000000000001,0.0029,1.9369999999999998,0.006999999999999999,0.7016574585635359,0.4917406002359753
90,4937.05,4.99e-11,1.2799999999999998e-13,-0.032,0.0082,-0.0117,0.0061,1.939,0.003,0.15469613259668508,0.5000278505429129
91,4767.36,7.490000000000001e-11,6.12e-13,0.0698,0.0418,0.0858,0.0038,1.939,0.019,0.5303867403314917,0.5000278505429129
92,4783.29,5.47e-11,7.99e-14,-0.0201,0.0009,0.0049,0.0005,1.94,0.003,0.27071823204419887,0.5083150841227977
93,5225.1,9.609999999999998e-11,9.43e-14,-0.1481,0.0046,-0.0401,0.0063,1.942,0.002,0.7624309392265194,0.5138399288121247
94,5126.3,8.65e-11,1.04e-13,-0.0848,0.002,-0.0149,0.0045,1.946,0.002,0.6685082872928176,0.5193648069555572
95,4970.96,3.71e-11,1.36e-13,0.0878,0.0105,-0.0378,0.011000000000000001,1.9480000000000002,0.01,0.03867403314917127,0.5248896516448842
96,4771.25,7.19e-11,1.09e-13,-0.0358,0.0078,0.1316,0.001,1.9509999999999998,0.005,0.5027624309392266,0.5387017299140959
97,5222.11,9.050000000000001e-11,1.29e-13,-0.0393,0.0012,-0.034,0.0046,1.9509999999999998,0.002,0.7071823204419889,0.5387017299140959
98,4875.12,5.5700000000000005e-11,8.47e-13,-0.1024,0.0246,-0.0167,0.0038,1.9509999999999998,0.021,0.281767955801105,0.5387017299140959
99,4811.31,9.97e-11,2e-13,-0.0136,0.0032,0.0379,0.0023,1.9509999999999998,0.003,0.7845303867403315,0.5387017299140959
100,4770.19,5.85e-11,1.3699999999999997e-13,-0.0596,0.0051,0.1096,0.0033,1.952,0.004,0.2983425414364641,0.5525137747292022
101,4818.13,1.01e-10,1.4400000000000002e-13,0.013000000000000001,0.0057,-0.026000000000000002,0.0033,1.954,0.004,0.798342541436464,0.5580386194185292
102,4962.96,5.3e-11,1.26e-13,0.0031,0.0076,0.034,0.005,1.955,0.005,0.22375690607734805,0.566325852998414
103,4838.0,4.49e-11,6.48e-14,0.0001,0.0027,0.0216,0.006999999999999999,1.955,0.003,0.10497237569060773,0.566325852998414
104,5204.28,3.36e-11,1.4300000000000002e-13,-0.0419,0.003,-0.1009,0.0145,1.9580000000000002,0.006999999999999999,0.022099447513812154,0.577375525650015
105,5195.19,6.61e-11,5.54e-13,-0.10099999999999999,0.0183,0.1084,0.0217,1.9580000000000002,0.017,0.4143646408839779,0.577375525650015
106,4813.22,9.51e-11,6.890000000000001e-13,-0.0248,0.0166,-0.0456,0.0075,1.959,0.016,0.7569060773480663,0.5856627592298999
107,5129.25,8.449999999999999e-11,1.65e-13,-0.0931,0.0031,-0.0652,0.0028,1.96,0.003,0.6464088397790055,0.591187587192174
108,4969.96,2.9100000000000002e-11,9.72e-14,0.0624,0.0084,-0.0665,0.0144,1.963,0.006,0.011049723756906077,0.5994748542261645
109,5226.17,7.65e-11,2.1600000000000004e-13,-0.0892,0.0068,0.012,0.0024,1.963,0.005,0.5524861878453039,0.5994748542261645
110,4899.1,4.1200000000000004e-11,2.39e-13,0.0477,0.0141,-0.0062,0.013999999999999999,1.964,0.011000000000000001,0.08287292817679558,0.6077620878060493
111,5138.3,8.04e-11,5.19e-13,-0.0674,0.0062,0.0532,0.0086,1.965,0.016,0.6187845303867403,0.6160493213859342
112,4816.36,9.11e-11,1.6e-13,0.0086,0.0024,0.0713,0.0032,1.965,0.004,0.7154696132596685,0.6160493213859342
113,4900.14,4.96e-11,9.76e-14,-0.0621,0.0019,0.0654,0.002,1.966,0.003,0.143646408839779,0.624336554965819
114,4911.02,7.209999999999999e-11,1.0699999999999999e-13,-0.1059,0.0043,-0.0237,0.0028,1.9680000000000002,0.003,0.5082872928176796,0.6326238052727566
115,5223.17,9.350000000000001e-11,1.95e-13,-0.0096,0.0017,-0.0869,0.0032,1.9680000000000002,0.003,0.7430939226519337,0.6326238052727566
116,5133.35,7.890000000000001e-11,2.2399999999999998e-13,-0.1094,0.005,-0.0067,0.0031,1.969,0.005,0.5911602209944752,0.6409110388526414
117,5085.21,6.06e-11,9.61e-14,0.0028,0.003,-0.0893,0.0032,1.97,0.006,0.32044198895027626,0.6464358668149156
118,4835.12,5.0100000000000007e-11,1.3900000000000001e-13,0.0029,0.002,0.0485,0.0047,1.973,0.004,0.16022099447513813,0.6519607282312954
119,4819.02,9.11e-11,2.49e-13,0.0733,0.0063,-0.0174,0.0014,1.975,0.003,0.7154696132596685,0.6574855729206223
120,4938.95,4.7e-11,1.42e-13,-0.0938,0.0056,-0.0594,0.0076,1.976,0.006,0.12430939226519337,0.6630104008828964
121,5131.31,7.98e-11,1.9e-13,-0.1092,0.002,0.0064,0.002,1.9780000000000002,0.004,0.6077348066298343,0.6685352455722235
122,4952.95,6.86e-11,1.7800000000000002e-13,-0.1086,0.0014,-0.0096,0.0052,1.979,0.004,0.44751381215469616,0.6740600735344977
123,4824.14,6.199999999999999e-11,1.8100000000000004e-13,0.0041,0.0038,0.0074,0.0067,1.98,0.004,0.3425414364640884,0.6795849014967719
124,4940.95,4.8700000000000004e-11,1.2799999999999998e-13,-0.0871,0.0032,-0.0245,0.0115,1.9809999999999999,0.006,0.13812154696132597,0.685109729459046
125,4949.97,7.15e-11,9.63e-14,-0.0638,0.0021,-0.0089,0.0026,1.985,0.027999999999999997,0.494475138121547,0.6906346076024785
126,4961.97,5.0799999999999995e-11,1.04e-13,-0.0429,0.006,0.052000000000000005,0.0036,1.986,0.005,0.18232044198895028,0.6961594355647527
127,5218.17,5.13e-11,1.15e-13,0.0014,0.0004,0.0366,0.0036,1.9869999999999999,0.004,0.1878453038674033,0.7016842635270268
128,5190.1,6.83e-11,2.91e-13,-0.139,0.0135,-0.0289,0.0007,1.989,0.008,0.4419889502762431,0.7072091082163539
129,4769.35,5.4600000000000004e-11,5.11e-14,-0.0791,0.0052,0.1071,0.0015,1.99,0.003,0.26519337016574585,0.7154963417962387
130,5171.26,6.310000000000001e-11,2.12e-13,-0.0752,0.008,0.0111,0.0038,1.99,0.004,0.3756906077348066,0.7154963417962387
131,4830.17,6.14e-11,1.0800000000000002e-13,-0.0108,0.0008,0.0248,0.0032,1.9909999999999999,0.004,0.3314917127071823,0.7237835753761235
132,5186.1,1.31e-10,1.3900000000000001e-13,-0.1621,0.0009,-0.0033,0.0065,1.996,0.003,0.919889502762431,0.7293084702466088
133,4881.1,5.3899999999999996e-11,7.51e-14,0.0033,0.0056,0.0408,0.0017,1.9969999999999999,0.002,0.24861878453038674,0.734833298208883
